Stage (ft),Grand Sum,SA + FB,NA + BRB,NA + SA,South Arm Sum,North Arm Sum,Stage (m),North Arm,NA GSLM Ponds
4165,0,0,0,0,0,0,1269.491959,0,0
4165.5,0,0,0,0,0,0,1269.644359,0,0
4166,0,0,0,0,0,0,1269.796759,0,0
4166.5,0,0,0,0,0,0,1269.949159,0,0
4167,16522004.06,7916237.492,8605766.566,16522004.06,7916237.492,8605766.566,1270.101559,8605766.566,0
4167.5,33953444.66,15106626.48,18846818.19,33953444.66,15106626.48,18846818.19,1270.253959,18846818.19,0
4168,67712832.26,33191866.46,34520965.8,67712832.26,33191866.46,34520965.8,1270.406359,34520965.8,0
4168.5,93835195.22,45836894.84,47998300.38,93835195.22,45836894.84,47998300.38,1270.558759,47998300.38,0
4169,219093147.3,139898304.2,79194843.13,219093147.3,139898304.2,79194843.13,1270.711159,79194843.13,0
4169.5,324583801,224906653.1,99677147.95,324583801,224906653.1,99677147.95,1270.863559,99677147.95,0
4170,466187554.2,328375404.9,137812149.3,466187554.2,328375404.9,137812149.3,1271.015959,137812149.3,0
4170.5,540235488.7,379748568.6,160486920,540235488.7,379748568.6,160486920,1271.168359,160486920,0
4171,615807984.8,434012389.5,181795595.4,615807984.8,434012389.5,181795595.4,1271.320759,181795595.4,0
4171.5,688590833.4,488272383.2,200318450.3,688590833.4,488272383.2,200318450.3,1271.473159,200318450.3,0
4172,752561933.2,534648879.3,217913053.9,752561933.2,534648879.3,217913053.9,1271.625559,217913053.9,0
4172.5,826158592.6,588832292,237326300.6,826158592.6,588832292,237326300.6,1271.777959,237326300.6,0
4173,884556759.7,629309652,255247107.7,884556759.7,629309652,255247107.7,1271.930359,255247107.7,0
4173.5,940677947,662740660,277937286.9,940677947,662740660,277937286.9,1272.082759,277937286.9,0
4174,995876260.5,695754853.8,300121406.6,995876260.5,695754853.8,300121406.6,1272.235159,300121406.6,0
4174.5,1051882279,728107458.8,323774820,1051882279,728107458.8,323774820,1272.387559,323774820,0
4175,1107023558,758966778,348056779.7,1107023558,758966778,348056779.7,1272.539959,348056779.7,0
4175.5,1156758973,786944654,369814319,1156758973,786944654,369814319,1272.692359,369814319,0
4176,1205283221,812941194.2,392342026.5,1205283221,812941194.2,392342026.5,1272.844759,392342026.5,0
4176.5,1251002920,837440017,413562903.1,1251002920,837440017,413562903.1,1272.997159,413562903.1,0
4177,1295825380,861749056.5,434076324,1295825380,861749056.5,434076324,1273.149559,434076324,0
4177.5,1335565224,885512438.9,450052785.4,1335565224,885512438.9,450052785.4,1273.301959,450052785.4,0
4178,1381613073,909772597.7,471840475.1,1381613073,909772597.7,471840475.1,1273.454359,471840475.1,0
4178.5,1424961626,933845720,491115906.3,1424961626,933845720,491115906.3,1273.606759,491115906.3,0
4179,1473074105,958685345.1,514388760,1473074105,958685345.1,514388760,1273.759159,514388760,0
4179.5,1519244791,984358419.5,534886371.6,1519244791,984358419.5,534886371.6,1273.911559,534886371.6,0
4180,1571429139,1011472697,559956442.2,1571429139,1011472697,559956442.2,1274.063959,559956442.2,0
4180.5,1612960698,1034225783,578734915.2,1612960698,1034225783,578734915.2,1274.216359,578734915.2,0
4181,1667550138,1058950910,608599227.8,1667550138,1058950910,608599227.8,1274.368759,608599227.8,0
4181.5,1707584057,1081013048,626571009.2,1707584057,1081013048,626571009.2,1274.521159,626571009.2,0
4182,1752081634,1105457619,646624014.3,1752081634,1105457619,646624014.3,1274.673559,646624014.3,0
