Date,Elevation (ft)
6/15/1966,4194.75
7/15/1966,4193.75
8/15/1966,4193.75
9/15/1966,4193.25
10/15/1966,4193
11/15/1966,4192.95
12/15/1966,4193.15
1/15/1967,4193.1
3/15/1967,4193.55
4/15/1967,4193.75
5/15/1967,4193.85
6/15/1967,4194.1
7/15/1967,4194.35
8/15/1967,4193.9
9/15/1967,4193.7
10/15/1967,4193.4
11/15/1967,4193.35
12/15/1967,4193.4
1/15/1968,4193.55
2/15/1968,4193.85
3/15/1968,4194.25
4/15/1968,4194.65
5/15/1968,4194.75
6/15/1968,4194.75
7/15/1968,4194.65
8/15/1968,4194.25
9/15/1968,4194
10/15/1968,4193.75
11/15/1968,4193.8
12/15/1968,4193.95
1/15/1969,4194.25
2/15/1969,4194.9
3/15/1969,4195.4
4/15/1969,4195.8
5/15/1969,4196
6/15/1969,4195.85
7/15/1969,4195.7
8/15/1969,4195.2
9/15/1969,4194.8
10/15/1969,4194.4
11/15/1969,4194.4
12/15/1969,4194.55
1/15/1970,4194.85
2/15/1970,4195.2
3/15/1970,4195.35
4/15/1970,4195.4
5/15/1970,4195.4
6/15/1970,4195.4
7/15/1970,4195.25
8/15/1970,4194.9
9/15/1970,4194.4
10/15/1970,4194.15
11/15/1970,4194.2
12/15/1970,4194.45
1/15/1971,4194.8
2/15/1971,4195.2
3/15/1971,4195.55
4/15/1971,4195.85
5/15/1971,4196.45
6/15/1971,4196.7
7/15/1971,4196.65
8/15/1971,4196.4
9/15/1971,4196.1
10/15/1971,4195.95
11/15/1971,4196.1
12/15/1971,4196.4
1/15/1972,4196.85
2/15/1972,4197.25
3/15/1972,4197.55
4/15/1972,4197.85
5/15/1972,4197.95
6/15/1972,4198
7/15/1972,4197.85
8/15/1972,4197.45
9/15/1972,4197.05
10/15/1972,4196.8
11/15/1972,4196.95
12/15/1972,4197.15
1/15/1973,4197.4
2/15/1973,4197.75
3/15/1973,4198.15
4/15/1973,4198.55
5/15/1973,4198.8
6/15/1973,4198.8
7/15/1973,4198.6
8/15/1973,4198.3
9/15/1973,4197.95
10/15/1973,4197.7
11/15/1973,4197.65
12/15/1973,4197.85
1/15/1974,4198.2
2/15/1974,4198.55
3/15/1974,4198.9
4/15/1974,4199.15
5/15/1974,4199.3
6/15/1974,4199.3
7/15/1974,4199.1
8/15/1974,4198.7
9/15/1974,4198.2
10/15/1974,4197.85
11/15/1974,4197.9
12/15/1974,4197.95
1/15/1975,4198.05
2/15/1975,4198.35
3/15/1975,4198.55
4/15/1975,4198.8
5/15/1975,4198.95
6/15/1975,4199.2
7/15/1975,4199.25
8/15/1975,4199.2
9/15/1975,4198.95
10/15/1975,4198.8
11/15/1975,4198.8
12/15/1975,4198.85
1/15/1976,4199.15
2/15/1976,4199.5
3/15/1976,4199.85
4/15/1976,4200.1
5/15/1976,4200.3
6/15/1976,4200.25
7/15/1976,4200.15
8/15/1976,4199.75
9/15/1976,4199.45
10/15/1976,4199.25
11/15/1976,4199.1
12/15/1976,4199
1/15/1977,4199.05
2/15/1977,4199.15
3/15/1977,4199.3
4/15/1977,4199.3
5/15/1977,4199.25
6/15/1977,4199.35
7/15/1977,4199
8/15/1977,4198.5
9/15/1977,4198.3
10/15/1977,4198.05
11/15/1977,4197.85
12/15/1977,4197.8
1/15/1978,4197.9
2/15/1978,4198.2
3/15/1978,4198.4
4/15/1978,4198.6
5/15/1978,4198.6
6/15/1978,4198.6
7/15/1978,4198.35
8/15/1978,4197.9
9/15/1978,4197.55
10/15/1978,4197.45
11/15/1978,4197.3
12/15/1978,4197.35
1/15/1979,4197.55
2/15/1979,4197.85
3/15/1979,4198.15
4/15/1979,4198.4
5/15/1979,4198.4
6/15/1979,4198.25
7/15/1979,4197.9
8/15/1979,4197.5
9/15/1979,4197.1
10/15/1979,4196.75
11/15/1979,4196.6
12/15/1979,4196.6
1/15/1980,4196.8
2/15/1980,4197.1
3/15/1980,4197.65
4/15/1980,4197.8
5/15/1980,4198
6/15/1980,4198.45
7/15/1980,4198.45
8/15/1980,4198.2
9/15/1980,4197.95
10/15/1980,4197.8
11/15/1980,4197.8
12/15/1980,4197.85
1/15/1981,4198.1
2/15/1981,4198.35
3/15/1981,4198.45
4/15/1981,4198.6
5/15/1981,4198.6
6/15/1981,4198.65
7/15/1981,4198.35
8/15/1981,4197.9
9/15/1981,4197.5
10/15/1981,4197.3
11/15/1981,4197.3
12/15/1981,4197.35
1/15/1982,4197.55
2/15/1982,4197.7
3/15/1982,4197.9
4/15/1982,4198.3
5/15/1982,4198.5
6/15/1982,4198.7
7/15/1982,4198.6
8/15/1982,4198.5
9/15/1982,4198.25
10/15/1982,4198.65
11/15/1982,4198.8
12/15/1982,4199.1
1/15/1983,4199.5
2/15/1983,4200.05
3/15/1983,4200.3
4/15/1983,4200.75
5/15/1983,4201.1
6/15/1983,4201.5
7/15/1983,4201.65
8/15/1983,4201.75
9/15/1983,4201.9
10/15/1983,4202.15
11/15/1983,4202.45
12/15/1983,4202.9
1/15/1984,4203.45
2/15/1984,4203.9
3/15/1984,4204.35
4/15/1984,4204.75
5/15/1984,4205.05
6/15/1984,4205.4
7/15/1984,4205.6
8/15/1984,4206.1
9/15/1984,4206.95
10/15/1984,4207.15
11/15/1984,4207.35
12/15/1984,4207.65
1/15/1985,4208
2/15/1985,4208.25
3/15/1985,4208.65
4/15/1985,4209
5/15/1985,4209.25
6/15/1985,4209.25
7/15/1985,4209
8/15/1985,4208.4
9/15/1985,4208
10/15/1985,4207.8
11/15/1985,4207.9
12/15/1985,4208.1
1/15/1986,4208.45
2/15/1986,4208.75
3/15/1986,4209.35
4/15/1986,4209.9
5/15/1986,4210.65
6/15/1986,4211.033
7/15/1986,4210.75
8/15/1986,4210.6
9/15/1986,4210.2
10/15/1986,4210.1
11/15/1986,4210.2
12/15/1986,4210.4
1/15/1987,4210.7
2/15/1987,4210.9
3/15/1987,4211.05
4/15/1987,4211.15
5/15/1987,4211.1
6/15/1987,4211
7/15/1987,4210.45
8/15/1987,4210
9/15/1987,4209.5
10/15/1987,4209
11/15/1987,4208.9
12/15/1987,4208.85
1/15/1988,4208.95
2/15/1988,4209.05
3/15/1988,4208.95
4/15/1988,4208.85
5/15/1988,4208.7
6/15/1988,4208.45
7/15/1988,4208
8/15/1988,4207.35
9/15/1988,4206.65
10/15/1988,4206.2
11/15/1988,4205.9
12/15/1988,4205.8
1/15/1989,4206
2/15/1989,4206
3/15/1989,4206
4/15/1989,4206.1
5/15/1989,4206
6/15/1989,4205.75
7/15/1989,4205.25
8/15/1989,4204.85
9/15/1989,4204.1
10/15/1989,4203.916
11/15/1989,4203.743
12/15/1989,4203.79
1/15/1990,4203.848
2/15/1990,4203.868
3/15/1990,4204
4/15/1990,4203.95
5/15/1990,4203.732
6/15/1990,4203.497
7/15/1990,4203.055
8/15/1990,4202.484
9/15/1990,4202.03
10/15/1990,4201.629
11/15/1990,4201.433
12/15/1990,4201.235
1/15/1991,4201.326
2/15/1991,4201.471
3/15/1991,4201.61
4/15/1991,4201.607
5/15/1991,4201.655
6/15/1991,4201.49
7/15/1991,4201.09
8/15/1991,4200.597
9/15/1991,4200.277
10/15/1991,4200.01
11/15/1991,4199.867
12/15/1991,4199.803
1/15/1992,4199.813
2/15/1992,4199.91
3/15/1992,4200.081
4/15/1992,4200.057
5/15/1992,4199.765
6/15/1992,4199.343
7/15/1992,4198.913
8/15/1992,4198.374
9/15/1992,4197.973
10/15/1992,4197.552
11/15/1992,4197.623
12/15/1992,4197.506
1/15/1993,4197.648
2/15/1993,4197.793
3/15/1993,4197.935
4/15/1993,4197.923
5/15/1993,4197.865
6/15/1993,4197.717
7/15/1993,4197.345
8/15/1993,4197.071
9/15/1993,4196.77
10/15/1993,4196.861
11/15/1993,4197
12/15/1993,4197.142
1/15/1994,4197.374
2/15/1994,4197.589
3/15/1994,4197.906
4/15/1994,4198.127
5/15/1994,4198.165
6/15/1994,4197.997
7/15/1994,4197.623
8/15/1994,4197.2
9/15/1994,4196.887
10/15/1994,4196.945
11/15/1994,4196.927
12/15/1994,4197.042
1/15/1995,4197.161
2/15/1995,4197.514
3/15/1995,4197.661
4/15/1995,4197.76
5/15/1995,4197.906
6/15/1995,4198.23
7/15/1995,4198.2
8/15/1995,4197.91
9/15/1995,4197.607
10/15/1995,4197.261
11/15/1995,4197.2
12/15/1995,4197.268
1/15/1996,4197.461
2/15/1996,4197.717
3/15/1996,4197.968
4/15/1996,4198.12
5/15/1996,4198.174
6/15/1996,4198.197
7/15/1996,4198.016
8/15/1996,4197.729
9/15/1996,4197.337
10/15/1996,4197.177
11/15/1996,4197.147
12/15/1996,4197.245
1/15/1997,4197.613
2/15/1997,4197.932
3/15/1997,4198.184
4/15/1997,4198.397
5/15/1997,4198.726
6/15/1997,4198.96
7/15/1997,4199.01
8/15/1997,4198.958
9/15/1997,4198.957
10/15/1997,4198.981
11/15/1997,4199.03
12/15/1997,4199.245
1/15/1998,4199.542
2/15/1998,4200
3/15/1998,4200.561
4/15/1998,4201.077
5/15/1998,4201.494
6/15/1998,4201.97
7/15/1998,4202.084
8/15/1998,4201.91
9/15/1998,4201.76
10/15/1998,4201.671
11/15/1998,4201.667
12/15/1998,4201.8
1/15/1999,4202.026
2/15/1999,4202.307
3/15/1999,4202.571
4/15/1999,4202.75
5/15/1999,4203.042
6/15/1999,4203.293
7/15/1999,4203.142
8/15/1999,4202.758
9/15/1999,4202.317
10/15/1999,4202.065
11/15/1999,4201.923
12/15/1999,4201.977
1/15/2000,4202.126
2/15/2000,4202.403
3/15/2000,4202.761
4/15/2000,4202.817
5/15/2000,4202.745
6/15/2000,4202.38
7/15/2000,4201.871
8/15/2000,4201.313
9/15/2000,4200.98
10/15/2000,4200.613
11/15/2000,4200.543
12/15/2000,4200.584
1/15/2001,4200.665
2/15/2001,4200.768
3/15/2001,4200.906
4/15/2001,4200.94
5/15/2001,4200.752
6/15/2001,4200.38
7/15/2001,4199.952
8/15/2001,4199.371
9/15/2001,4198.9
10/15/2001,4198.495
11/15/2001,4198.418
12/15/2001,4198.608
1/15/2002,4198.786
2/15/2002,4198.881
3/15/2002,4198.922
4/15/2002,4199.036
5/15/2002,4199.063
6/15/2002,4198.771
7/15/2002,4198.24
8/15/2002,4197.605
9/15/2002,4197.183
10/15/2002,4196.952
11/15/2002,4196.888
12/15/2002,4196.935
1/15/2003,4197.048
2/15/2003,4197.223
3/15/2003,4197.257
4/15/2003,4197.221
5/15/2003,4197.115
6/15/2003,4196.739
7/15/2003,4196.262
8/15/2003,4195.724
9/15/2003,4195.242
10/15/2003,4194.876
11/15/2003,4194.668
12/15/2003,4194.667
1/15/2004,4194.871
2/15/2004,4195.083
3/15/2004,4195.445
4/15/2004,4195.566
5/15/2004,4195.437
6/15/2004,4195.212
7/15/2004,4194.765
8/15/2004,4194.225
9/15/2004,4193.859
10/15/2004,4193.626
11/15/2004,4193.693
12/15/2004,4193.744
1/15/2005,4194.241
2/15/2005,4194.644
3/15/2005,4194.905
4/15/2005,4195.145
5/15/2005,4195.755
6/15/2005,4196.28
7/15/2005,4196.24
8/15/2005,4195.762
9/15/2005,4195.268
10/15/2005,4194.985
11/15/2005,4194.934
12/15/2005,4194.953
1/15/2006,4195.37
2/15/2006,4195.719
